iter	Passed	Remaining
196	120039	245563
197	120635	244927
198	121242	244312
199	121813	243627
200	122381	242936
201	122928	242205
202	123569	241660
203	124338	241362
204	124913	240686
205	125470	239976
206	126063	239337
207	126641	238670
208	127286	238129
209	127801	237345
210	128320	236572
211	128921	235951
212	129553	235386
213	130239	234917
214	130819	234258
215	131384	233573
216	131999	232976
217	132562	232287
218	133091	231543
219	133663	230873
220	134269	230262
221	134963	229802
222	135586	229220
223	136305	228798
224	136913	228189
225	137438	227441
226	138014	226780
227	138570	226088
228	139132	225406
229	139654	224661
230	140225	223996
231	140793	223328
232	141413	222742
233	142196	222410
234	142761	221736
235	143292	221011
236	143938	220463
237	144565	219884
238	145112	219187
239	145732	218598
240	146328	217974
241	146968	217416
242	147577	216811
243	148221	216257
244	148795	215601
245	149387	214972
246	149965	214322
247	150561	213699
248	151172	213098
249	151761	212466
250	152351	211834
251	152933	211194
252	153633	210714
253	154310	210203
254	154983	209683
255	155812	209373
256	156484	208849
257	157156	208323
258	157797	207756
259	158409	207150
260	159030	206556
261	159647	205957
262	160274	205371
263	160961	204859
264	161798	204538
265	162443	203970
266	163014	203309
267	163547	202603
268	164122	201950
269	164780	201398
270	165371	200764
271	166005	200183
272	166676	199644
273	167197	198928
274	167831	198346
275	168442	197736
276	169037	197108
277	169647	196497
278	170228	195854
279	170814	195216
280	171396	194574
281	172080	194048
282	172731	193483
283	173345	192877
284	173914	192220
285	174519	191604
286	175064	190924
287	175615	190250
288	176180	189592
289	176837	189033
290	177416	188391
291	178170	187933
292	178858	187404
293	179423	186747
294	180045	186148
295	180633	185514
296	181240	184902
297	181919	184361
298	182582	183803
299	183290	183290
300	183947	182725
301	184598	182153
302	185202	181534
303	185720	180833
304	186318	180210
305	186914	179584
306	187541	178989
307	188128	178355
308	188687	177696
309	189239	177030
310	189788	176362
311	190498	175845
312	191051	175181
313	191634	174545
314	192171	173869
315	192742	173224
316	193311	172577
317	193914	171961
318	194504	171334
319	195019	170642
320	195609	170015
321	196372	169539
322	196975	168923
323	197529	168265
324	198124	167643
325	198719	167021
326	199266	166359
327	199807	165693
328	200339	165021
329	200922	164391
330	201632	163864
331	202364	163354
332	202921	162702
333	203453	162031
334	204030	161396
335	204562	160727
336	205161	160111
337	205923	159621
338	206399	158909
339	207103	158373
340	207809	157837
341	208496	157286
342	209082	156659
343	209664	156029
344	210246	155399
345	210969	154873
346	211579	154263
347	212164	153636
348	212786	153035
349	213368	152405
350	214028	151832
351	214592	151190
352	215190	150572
353	215752	149929
354	216311	149285
355	216922	148677
356	217500	148046
357	218118	147443
358	218651	146782
359	219286	146191
360	219900	145584
361	220538	144994
362	221055	144325
363	221635	143697
364	222237	143084
365	222787	142437
366	223373	141814
367	223993	141213
368	224550	140572
369	225138	139951
370	225894	139433
371	226742	138971
372	227356	138364
373	227971	137757
374	228612	137167
375	229171	136527
376	229846	135957
377	230429	135331
378	231085	134749
379	231681	134131
380	232367	133565
381	232952	132941
382	233527	132311
383	234098	131680
384	234646	131036
385	235244	130420
386	235848	129808
387	236458	129199
388	237067	128589
389	237725	128006
390	238480	127474
391	239070	126853
392	239653	126229
393	240268	125622
394	240841	124993
395	241494	124406
396	242091	123789
397	242638	123148
398	243279	122554
399	243891	121945
400	244592	121381
401	245180	120760
402	245805	120157
403	246310	119497
404	246897	118876
405	247573	118298
406	248180	117687
407	248718	117044
408	249265	116405
409	249938	115825
410	250662	115267
411	251271	114657
412	251854	114035
413	252474	113430
414	253122	112837
415	253717	112221
416	254281	111591
417	254934	111000
418	255483	110364
419	256131	109770
420	256753	109166
421	257311	108534
422	258034	107971
423	258601	107344
424	259172	106718
425	259754	106096
426	260318	105468
427	260899	104847
428	261469	104222
429	262181	103653
430	262975	103115
431	263505	102474
432	264098	101857
433	264700	101244
434	265379	100661
435	265880	100010
436	266407	99369
437	266951	98735
438	267536	98117
439	268231	97538
440	268843	96929
441	269465	96324
442	270111	95728
443	270720	95117
444	271284	94492
445	271886	93880
446	272514	93276
447	273147	92675
448	273720	92052
449	274355	91451
450	274927	90829
451	275555	90226
452	276206	89629
453	276836	89026
454	277408	88404
455	278013	87793
456	278571	87168
457	279139	86545
458	279705	85922
459	280418	85344
460	280982	84721
461	281603	84115
462	282206	83503
463	282769	82880
464	283395	82276
465	283924	81643
466	284497	81023
467	285047	80397
468	285598	79772
469	286226	79168
470	286874	78570
471	287439	77949
472	288088	77351
473	288691	76740
474	289219	76110
475	289828	75501
476	290472	74901
477	291127	74304
478	291674	73679
479	292258	73064
480	293011	72491
481	293593	71875
482	294185	71262
483	294708	70632
484	295307	70021
485	295888	69406
486	296492	68795
487	297045	68174
488	297657	67566
489	298279	66960
490	298975	66371
491	299607	65767
492	300210	65157
493	300796	64543
494	301447	63943
495	302071	63337
496	302746	62742
497	303313	62124
498	303888	61508
499	304602	60920
500	305252	60319
501	305786	59695
502	306312	59070
503	306876	58452
504	307458	57838
505	308010	57219
506	308538	56595
507	309091	55977
508	309660	55361
509	310360	54769
510	311063	54177
511	311639	53563
512	312210	52948
513	312825	52340
514	313420	51729
515	314013	51118
516	314642	50513
517	315298	49912
518	315937	49308
519	316649	48715
520	317290	48111
521	317892	47501
522	318502	46892
523	319093	46280
524	319686	45669
525	320284	45059
526	320903	44451
527	321580	43851
528	322251	43251
529	322970	42656
530	323535	42041
531	324091	41425
532	324647	40809
533	325208	40194
534	325846	39588
535	326418	38975
536	326931	38355
537	327545	37746
538	328188	37141
539	328881	36542
540	329529	35937
541	330212	35336
542	330870	34732
543	331453	34120
544	332046	33509
545	332597	32894
546	333237	32288
547	333866	31680
548	334506	31074
549	335146	30467
550	335752	29858
551	336398	29252
552	336964	28638
553	337547	28027
554	338129	27415
555	338742	26806
556	339361	26198
557	339963	25588
558	340650	24985
559	341271	24376
560	341919	23769
561	342535	23160
562	343098	22548
563	343629	21933
564	344231	21324
565	344802	20712
566	345331	20098
567	345972	19491
568	346733	18890
569	347363	18282
570	347977	17673
571	348562	17062
572	349030	16446
573	349619	15836
574	350142	15223
575	350725	14613
576	351307	14003
577	351845	13392
578	352538	12786
579	353195	12179
580	353774	11569
581	354274	10956
582	354833	10346
583	355402	9737
584	355950	9126
585	356480	8516
586	357250	7911
587	357819	7302
588	358537	6695
589	359224	6088
590	359792	5479
591	360353	4869
592	360903	4260
593	361514	3651
594	362179	3043
595	362725	2434
596	363339	1825
597	363989	1217
598	364617	608
599	365255	0
